"","shellID","exptID","taxon","source","pocket","dateM1","dateM2","mass1","mass2","density","shape","xDim","yDim","zDim","thick","calcX","calcY","calcSA1","calcSA2","calcZ","perimeter","polymorph","note","exclude","cMass","pMass","cTime1","cTime2","cDuration","cSize","cSA1","cDim","calcSA","calcC","calcSAPerim","finalSA","volume","densityMV"
"1","1.1.1.1","T1.1","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",33.55,29.89,2.447,"cylinder1",6.43,6.57,0.84,0.84,6.421,6.561,32.174,32.978,NA,NA,"Calcite","",0,3.66,0.109090909090909,NA,NA,NA,3.28613355096329,83.5115437936834,NA,82.2813454481391,NA,NA,83.5115437936834,27.8705481201349,1.20377969803048
"2","1.1.1.2","T1.1","Marginopora","E17",5,"9/4/2023 14:32","9/6/2023 14:32",32.58,28.4,2.463,"cylinder1",5.86,6.05,0.87,0.87,5.98,6.092,26.15,27.958,NA,NA,"Calcite","",0,4.18,0.128299570288521,NA,NA,NA,3.13610610399974,71.9655624732102,NA,70.6055083336491,NA,NA,71.9655624732102,24.2249073456289,1.34489678474988
"3","1.1.1.3","T1.1","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",35.25,26.82,2.958,"cylinder1",6.78,6.64,0.62,0.62,6.884,6.738,36.7,34.751,NA,NA,"Calcite","",0,8.43,0.239148936170213,NA,NA,NA,3.03340096724238,83.7856477527091,NA,84.717380289432,NA,NA,83.7856477527091,21.9219581385259,1.60797679556058
"4","1.1.1.4","T1.1","Marginopora","E17",10,"9/4/2023 14:32","9/6/2023 14:32",36.43,32.09,2.545,"cylinder1",6.64,6.78,0.81,0.81,6.68,6.75,34.905,34.83,NA,NA,"Calcite","",0,4.34,0.119132583035959,NA,NA,NA,3.31609983775832,87.7908642267707,NA,86.8225936817729,NA,NA,87.7908642267707,28.6399775680741,1.27199820298077
"5","1.1.1.5","T1.1","Marginopora","E17",3,"9/4/2023 14:32","9/6/2023 14:32",38.15,35.04,3.208,"cylinder1",6.83,6.8,0.86,0.86,6.858,6.9666,37.664,37.035,NA,NA,"Calcite","",0,3.11,0.0815203145478375,NA,NA,NA,3.41829355266674,91.3666249850866,NA,93.3744425734915,NA,NA,91.3666249850866,31.3702477787147,1.21612045493263
"6","1.1.2.1","T1.1","Turbo","E05",3,"9/4/2023 14:32","9/6/2023 14:32",224.04,217.88,2.726,"hemisphere",7.91,7.06,3.32,3.32,8.032,7.207,45.349,41.825,NA,NA,"Aragonite","",0,6.16,0.027495090162471,NA,NA,NA,5.70216468515051,122.348383416258,NA,125.440939039807,NA,NA,122.348383416258,91.9687750961977,2.43604418745012
"7","1.1.2.2","T1.1","Turbo","E05",10,"9/4/2023 14:32","9/6/2023 14:32",220.82,215.57,2.76,"hemisphere",8.13,7.27,2.96,2.96,8.013,7.415,44.559,44.522,NA,NA,"Aragonite","",0,5.25,0.0237750203785889,NA,NA,NA,5.59292362982675,120.367452168537,NA,118.74990570239,NA,NA,120.367452168537,82.2823213169402,2.6836870480286
"8","1.1.2.3","T1.1","Turbo","E02",7,"9/4/2023 14:32","9/6/2023 14:32",206.58,198.26,2.574,"hemisphere",7.92,7.09,3.09,3.09,8.034,7.185,45.224,43.009,NA,NA,"Aragonite","",0,8.32000000000002,0.0402749540129733,NA,NA,NA,5.57754777206168,118.200852794989,NA,120.556792165162,NA,NA,118.200852794989,83.5861267740759,2.47146276508736
"9","1.1.2.4","T1.1","Turbo","E02",3,"9/4/2023 14:32","9/6/2023 14:32",162.48,157.76,2.768,"hemisphere",7.2,6.4,2.87,2.87,7.274,6.41,37.355,35.78,NA,NA,"Aragonite","",0,4.72,0.0290497291974397,NA,NA,NA,5.09485062720911,98.2592792670626,NA,99.8522263302987,NA,NA,98.2592792670626,64.3121207410861,2.52642889283853
"11","1.1.3.1","T1.1","Halimeda","E18",6,"9/4/2023 14:32","9/6/2023 14:32",67.67,57.7,2.007,"rhombus",12.24,9.09,1.12,1.12,12.44,9.247,70.714,72.845,NA,43.09,"Aragonite","",0,9.97,0.147332643712132,NA,NA,NA,4.99483455881445,145.413020824323,7.62308500542923,191.8198,7.75017111101426,191.8198,191.8198,80.39304,0.841739533671074
"12","1.1.3.2","T1.1","Halimeda","E18",1,"9/4/2023 14:32","9/6/2023 14:32",91.64,74.67,1.513,"rhombus",13.44,8.87,1.27,1.27,13.489,8.778,84.673,83.946,NA,42.387,"Aragonite","",0,16.97,0.185181143605412,NA,NA,NA,5.3297749319172,160.114726871481,8.0515604077719,222.45049,8.0468379659342,222.45049,222.45049,107.073065,0.855864170881818
"13","1.1.3.3","T1.1","Halimeda","E18",9,"9/4/2023 14:32","9/6/2023 14:32",100.78,85.55,1.882,"rhombus",12.37,8.62,1.29,1.29,12.164,8.572,76.365,71.213,NA,40.539,"Aragonite","",0,15.23,0.151121254217107,NA,NA,NA,5.16205021887194,145.528519544278,7.53858905896853,199.87331,7.44046503922974,199.87331,199.87331,95.18781,1.05874901418575
"14","1.1.3.4","T1.1","Halimeda","E18",6,"9/4/2023 14:32","9/6/2023 14:32",71.15,61.99,1.549,"rhombus",10.5,7.2,1.06,1.06,10.501,7.108,51.859,52.59,NA,34.982,"Aragonite","",0,9.16,0.128742094167252,NA,NA,NA,4.31130969039191,102.59068906123,6.36572855217688,141.52992,6.34024181321186,141.52992,141.52992,55.35797,1.28527111814252
"15","1.1.3.5","T1.1","Halimeda","E18",9,"9/4/2023 14:32","9/6/2023 14:32",62.64,53.8,1.369,"rhombus",10.11,7.63,1.23,1.23,10.215,7.68,57.213,56.971,NA,36.589,"Aragonite","",0,8.84,0.141123882503193,NA,NA,NA,4.56100205932903,108.297800227065,6.33302850143594,159.18847,6.39000440140693,159.18847,159.18847,70.22316,0.892013404124793
"16","1.1.4.1","T1.1","Pinguitellina","E17",7,"9/4/2023 14:32","9/6/2023 14:32",54.11,49.51,2.721,"2dome",9.32,7.39,1.65,0.33,9.341,7.441,50.523,51.211,NA,NA,"Aragonite","",0,4.6,0.0850120125669932,NA,NA,NA,4.8437467857072,125.29425484753,NA,126.286339962403,NA,NA,125.29425484753,46.9797378249369,1.15177313678576
"17","1.1.4.2","T1.1","Pinguitellina","E17",4,"9/4/2023 14:32","9/6/2023 14:32",48.27,40.56,2.859,"2dome",9.8,7.52,1.75,0.34,9.905,7.726,53.898,56.49,NA,NA,"Aragonite","",0,7.71,0.159726538222498,NA,NA,NA,5.05235651219417,135.003661102714,NA,139.449061831434,NA,NA,135.003661102714,53.4517773564932,0.903056968116632
"18","1.1.4.3","T1.1","Pinguitellina","E17",8,"9/4/2023 14:32","9/6/2023 14:32",93.63,84.22,2.853,"2dome",11.68,9.43,2.15,0.43,11.841,9.764,80.639,82.141,NA,NA,"Aragonite","",0,9.41,0.100501975862437,NA,NA,NA,6.18677514074405,202.055301426812,NA,210.652464502105,NA,NA,202.055301426812,98.1972825540379,0.953488707271258
"19","1.1.4.4","T1.1","Pinguitellina","E17",5,"9/4/2023 14:32","9/6/2023 14:32",129.66,117.99,2.805,"2dome",13,9.21,2.73,0.54,12.929,9.206,81.889,82.287,NA,NA,"Aragonite","",0,11.67,0.0900046274872744,NA,NA,NA,6.88845580678189,234.899395983032,NA,233.791001254141,NA,NA,234.899395983032,139.012119700394,0.932724429204083
"20","1.1.4.5","T1.1","Pinguitellina","E17",5,"9/4/2023 14:32","9/6/2023 14:32",187.79,174.14,2.817,"2dome",14.81,11.94,3.46,0.51,14.904,12,127.116,121.212,NA,NA,"Aragonite","",0,13.65,0.072687576548272,NA,NA,NA,8.4894292770773,352.98589480543,NA,356.153562678045,NA,NA,352.98589480543,261.956058501185,0.716875956503791
"21","1.1.5.1","T1.1","Alaona","E17",2,"9/4/2023 14:32","9/6/2023 14:32",189.53,169.21,2.863,"2dome",21.65,11.33,3.13,0.34,22.013,11.631,191.356,196.326,NA,NA,"Aragonite","",0,20.32,0.107212578483617,NA,NA,NA,9.15680676389372,446.863437718898,NA,463.73175294584,NA,NA,446.863437718898,317.559063287473,0.596833855213972
"22","1.1.5.2","T1.1","Alaona","E17",11,"9/4/2023 14:32","9/6/2023 14:32",48.29,36.15,2.58,"2dome",15.22,9.4,2.18,0.2,15.471,9.688,112.539,114.959,NA,NA,"Aragonite","",0,12.14,0.251397804928557,NA,NA,NA,6.78161295642718,254.590898735733,NA,265.295951101063,NA,NA,254.590898735733,127.902830230746,0.377552239562498
"23","1.1.5.3","T1.1","Alaona","E17",1,"9/4/2023 14:32","9/6/2023 14:32",68.65,60.28,2.87,"2dome",15.7,9.82,2.59,0.21,15.996,10.065,121.037,124.237,NA,NA,"Aragonite","",0,8.37,0.121922796795339,NA,NA,NA,7.36382797975368,284.324188246368,NA,295.046035566025,NA,NA,284.324188246368,165.905923626182,0.413788721339942
"24","1.1.5.4","T1.1","Alaona","E17",11,"9/4/2023 14:32","9/6/2023 14:32",24.82,17.77,2.893,"2dome",12,7.57,1.55,0.16,12.097,7.899,74.206,74.1,NA,NA,"Aragonite","",0,7.05,0.284045124899275,NA,NA,NA,5.20239041970268,157.786491026547,NA,165.191543782713,NA,NA,157.786491026547,57.2426324918249,0.433592917019403
"25","1.1.5.5","T1.1","Alaona","E17",4,"9/4/2023 14:32","9/6/2023 14:32",277.18,252.02,2.856,"2dome",25.55,16.37,3.29,0.43,25.7,16.391,321.722,324.55,NA,NA,"Aragonite","",0,25.16,0.0907713399235154,NA,NA,NA,11.122741070624,725.000887552552,NA,729.705736710568,NA,NA,725.000887552552,559.02117537622,0.495830949182665
"26","1.1.6.1","T1.1","Calcite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",503.4,495.26,2.685,"cube",11.02,8.06,2.51,2.51,10.857,7.774,NA,NA,NA,NA,"Calcite","",0,8.13999999999999,0.0161700437028208,NA,NA,NA,6.06359406591295,273.424,NA,262.332256,NA,NA,273.424,222.941212,2.25799436310591
"27","1.1.6.2","T1.1","Calcite",NA,3,"9/4/2023 14:32","9/6/2023 14:32",801.79,790.24,2.744,"cube",8.09,8.05,5.03,5.03,8.274,8.167,80.284,66.525,NA,NA,"Calcite","",0,11.55,0.0144052682123748,NA,NA,NA,6.89346321344984,292.6174,NA,300.543976,NA,NA,292.6174,327.576235,2.44764398125523
"28","1.1.6.3","T1.1","Calcite",NA,10,"9/4/2023 14:32","9/6/2023 14:32",289.06,282.68,2.702,"cube",8.95,5.2,2.53,2.53,9.085,4.655,33.897,63.892,NA,NA,"Calcite","",0,6.38,0.0220715422403653,NA,NA,NA,4.90134906627574,164.679,NA,154.10575,NA,NA,164.679,117.7462,2.45494122103304
"29","1.1.6.4","T1.1","Calcite",NA,4,"9/4/2023 14:32","9/6/2023 14:32",468.28,459.25,2.695,"cube",8.28,4.87,4.97,4.97,8.069,4.924,45.031,55.489,NA,NA,"Calcite","",0,9.02999999999997,0.0192833347569829,NA,NA,NA,5.85201228165712,211.3582,NA,208.613932,NA,NA,211.3582,200.408292,2.33662986359866
"30","1.1.6.5","T1.1","Calcite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",423.28,413.08,2.706,"cube",9.25,8.35,2.29,2.29,9.087,7.994,76.293,90.654,NA,NA,"Calcite","",0,10.2,0.0240975240975241,NA,NA,NA,5.61333847424159,235.083,NA,223.513936,NA,NA,235.083,176.873875,2.39311769474152
"31","1.1.7.1","T1.1","Aragonite",NA,10,"9/4/2023 14:32","9/6/2023 14:32",149.41,143.68,2.675,"cube",5.62,4.46,2.83,2.83,5.81,4.262,26.554,25.1,NA,NA,"Aragonite","",0,5.72999999999999,0.0383508466635432,NA,NA,NA,4.13954431883163,107.1832,NA,106.53196,NA,NA,107.1832,70.934516,2.1063088666172
"32","1.1.7.2","T1.1","Aragonite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",444.24,434.33,2.86,"cube",7.4,6.63,4.09,4.09,7.295,6.673,48.256,46.691,NA,NA,"Aragonite","",0,9.91000000000003,0.0223077615703224,NA,NA,NA,5.85449606878786,212.8894,NA,211.61731,NA,NA,212.8894,200.66358,2.21385465165129
"33","1.1.7.3","T1.1","Aragonite",NA,5,"9/4/2023 14:32","9/6/2023 14:32",647.36,638.35,2.842,"cube",7.89,5.85,5.44,5.44,7.679,5.452,52.797,57.038,NA,NA,"Aragonite","",0,9.00999999999999,0.0139180672268907,NA,NA,NA,6.3087587922006,241.8042,NA,226.597096,NA,NA,241.8042,251.09136,2.57818508769079
"34","1.1.7.4","T1.1","Aragonite",NA,8,"9/4/2023 14:32","9/6/2023 14:32",573.6,563.21,2.85,"cube",7.91,5.64,5.22,5.22,7.833,5.845,44.404,41.375,NA,NA,"Aragonite","",0,10.39,0.0181136680613668,NA,NA,NA,6.15236411191991,230.6868,NA,234.36609,NA,NA,230.6868,232.876728,2.46310571660042
"35","1.1.7.5","T1.1","Aragonite",NA,11,"9/4/2023 14:32","9/6/2023 14:32",349.5,338.77,2.775,"cube",9.63,4.95,3.46,3.46,9.37,5.106,48.242,50.92,NA,NA,"Aragonite","",0,10.73,0.0307010014306152,NA,NA,NA,5.48406417480168,196.2306,NA,195.86036,NA,NA,196.2306,164.93301,2.11904214929443
"36","1.1.8.1","T1.1","Liloa","E18",4,"9/4/2023 14:32","9/6/2023 14:32",26.72,19.11,2.233,"cylinder2",10.02,4.59,4.59,0.11,10,4.584,43.542,36.89,NA,NA,"Aragonite","",0,7.61,0.284805389221557,NA,NA,NA,5.95430436836214,177.581195097919,NA,99.1080999029507,NA,NA,177.581195097919,165.799407403663,0.161158597720112
"37","1.1.8.2","T1.1","Liloa","E18",9,"9/4/2023 14:32","9/6/2023 14:32",27.99,21.6,2.835,"cylinder2",9.5,3.81,3.81,0.14,9.467,4.033,32.492,26.881,NA,NA,"Aragonite","",0,6.39,0.228295819935691,NA,NA,NA,5.16643756643984,136.51178265607,NA,73.8220065412364,NA,NA,136.51178265607,108.30872365709,0.258427936872541
"40","1.1.8.5","T1.1","Liloa","E18",7,"9/4/2023 14:32","9/6/2023 14:32",86.68,79.82,1.309,"cylinder2",11.92,5.7,5.7,0.17,11.339,4.366,37.95,36.33,NA,NA,"Aragonite","",0,6.86000000000001,0.079141670512229,NA,NA,NA,7.28912372968213,264.487543913071,NA,108.124753562092,NA,NA,264.487543913071,304.169629039095,0.284972567030547
"41","1.1.9.1","T1.1","Ethalia","E17",1,"9/4/2023 14:32","9/6/2023 14:32",497.35,478.38,1.84,"sphere",12.82,11.2,9.73,0.45,13.081,11.288,122.98,125.14,NA,NA,"Aragonite","",0,18.97,0.0381421534130894,NA,NA,NA,11.1790859710399,397.607820219958,NA,405.873455560374,NA,NA,397.607820219958,731.505356174275,0.679899327875202
"42","1.1.9.2","T1.1","Ethalia","E17",6,"9/4/2023 14:32","9/6/2023 14:32",524.8,504.89,1.888,"sphere",13.94,11.98,9.66,0.45,13.972,12.096,133.33,133.592,NA,NA,"Aragonite","",0,19.91,0.0379382621951219,NA,NA,NA,11.7282236582639,441.895166016879,NA,445.579061790594,NA,NA,441.895166016879,844.686086327694,0.621295897368913
"43","1.1.9.3","T1.1","Ethalia","E17",11,"9/4/2023 14:32","9/6/2023 14:32",78.35,73.57,1.329,"sphere",8.05,6.58,5.12,0.31,7.987,6.506,41.613,43.377,NA,NA,"Aragonite","",0,4.78,0.0610082961072113,NA,NA,NA,6.47287536817851,136.157498271208,NA,134.27508003872,NA,NA,136.157498271208,142.000658148691,0.551758006064721
"44","1.1.9.4","T1.1","Ethalia","E17",2,"9/4/2023 14:32","9/6/2023 14:32",87.92,81.73,1.803,"sphere",8.22,6.7,5.24,0.21,8.055,6.74,44.59,45.372,NA,NA,"Aragonite","",0,6.19,0.0704049135577798,NA,NA,NA,6.60834390059447,141.869297687869,NA,140.115459955772,NA,NA,141.869297687869,151.104197788656,0.581850149014197
"45","1.1.9.5","T1.1","Ethalia","E17",2,"9/4/2023 14:32","9/6/2023 14:32",86.26,80.26,1.96,"sphere",7.74,6.66,5.6,0.29,7.885,6.603,42.422,43.263,NA,NA,"Aragonite","",0,6,0.069557152793879,NA,NA,NA,6.60897951307924,139.626340159546,NA,140.857755118896,NA,NA,139.626340159546,151.147803094688,0.570699661085791
"46","1.1.10.1","T1.1","Notocochlis","E18",1,"9/4/2023 14:32","9/6/2023 14:32",80.15,74.75,2.536,"sphere",6.4,5.02,5.68,0.31,6.365,5,24.864,28.105,NA,NA,"Aragonite","",0,5.40000000000001,0.067373674360574,NA,NA,NA,5.67210169819439,102.070345315132,NA,101.41480837473,NA,NA,102.070345315132,95.5499907065578,0.83882792041443
"47","1.1.10.2","T1.1","Notocochlis","E18",7,"9/4/2023 14:32","9/6/2023 14:32",41.35,37.01,2.255,"sphere",5.55,4.16,5.02,0.21,5.527,4.431,19.309,21.18,NA,NA,"Aragonite","",0,4.34,0.104957678355502,NA,NA,NA,4.87562180102845,75.7378298520081,NA,78.3096018263532,NA,NA,75.7378298520081,60.6860196256879,0.681376044351686
"48","1.1.10.3","T1.1","Notocochlis","E18",4,"9/4/2023 14:32","9/6/2023 14:32",162.96,153.73,2.767,"sphere",8.41,6.01,7.81,0.28,8.524,6.525,43.417,46.767,NA,NA,"Aragonite","",0,9.23000000000002,0.0566396661757488,NA,NA,NA,7.33568206836909,172.498883582574,NA,182.398733533485,NA,NA,172.498883582574,206.690313503737,0.788425917197389
"49","1.1.10.4","T1.1","Notocochlis","E18",1,"9/4/2023 14:32","9/6/2023 14:32",147.58,137.41,2.772,"sphere",8.18,6.38,7.63,0.25,8.24,6.633,43.875,47.898,NA,NA,"Aragonite","",0,10.17,0.0689117766635046,NA,NA,NA,7.35697883741722,171.878663379585,NA,176.761713795822,NA,NA,171.878663379585,208.495719257513,0.707832278406271
"50","1.1.10.5","T1.1","Notocochlis","E18",10,"9/4/2023 14:32","9/6/2023 14:32",63.4,55.64,2.686,"sphere",5.87,4.3,5.12,0.23,5.773,4.805,21.482,23.809,NA,NA,"Aragonite","",0,7.76,0.122397476340694,NA,NA,NA,5.05582662440254,81.6060456762335,NA,86.0193215256748,NA,NA,81.6060456762335,67.6667222777685,0.936945042789958
"51","1.1.11.1","T1.1","Fustiaria","E18",9,"9/4/2023 14:32","9/6/2023 14:32",96.72,84.27,2.863,"2cone",3.4,3.4,15.59,0.2,3.524,2.677,48.85,49.342,15.667,NA,"Aragonite","",0,12.45,0.128722084367246,NA,NA,NA,5.64851972602622,185.668775001965,NA,193.202371993324,NA,NA,185.668775001965,47.1815903889178,2.04995209366062
"52","1.1.11.2","T1.1","Fustiaria","E18",2,"9/4/2023 14:32","9/6/2023 14:32",130.35,116.04,2.889,"2cone",3.38,3.38,23.19,0.18,3.537,2.296,73.015,68.449,24.408,NA,"Aragonite","",0,14.31,0.109781357882624,NA,NA,NA,6.42260751408851,264.843380182079,NA,278.08241864782,NA,NA,264.843380182079,69.3589924733047,1.87935255908122
"53","1.1.11.3","T1.1","Fustiaria","E18",2,"9/4/2023 14:32","9/6/2023 14:32",36.17,28.76,2.696,"2cone",2.35,2.35,20.26,0.14,2.465,1.006,34.957,36.204,20.144,NA,"Aragonite","",0,7.41,0.204865910975947,NA,NA,NA,4.81864636609598,158.500429207104,NA,166.728524523325,NA,NA,158.500429207104,29.2916470333875,1.23482301827454
"54","1.1.11.4","T1.1","Fustiaria","E18",7,"9/4/2023 14:32","9/6/2023 14:32",260.29,245.38,2.817,"2cone",3.48,3.48,30.67,0.48,3.464,1.673,91.921,NA,31.085,NA,"Aragonite","",0,14.91,0.0572822620922818,NA,NA,NA,7.18826514369829,354.869363580646,NA,353.14580055232,NA,NA,354.869363580646,97.2390910351065,2.67680412506146
"55","1.1.11.5","T1.1","Fustiaria","E18",1,"9/4/2023 14:32","9/6/2023 14:32",116.9,103.59,1.567,"2cone",3.06,3.06,21.35,0.23,3.071,1.926,53.262,55.214,21.672,NA,"Aragonite","",0,13.31,0.113857998289136,NA,NA,NA,5.84718602335919,220.478042251785,NA,221.327473150015,NA,NA,220.478042251785,52.3370643611771,2.2335987206557
